Source,Ticker,Month,Currency,LocalReturn,FXLevel_EoM,FXReturn,NOKReturn,LocalValue,NOKValue
total_returns,20202.OL,2026-03,NOK,0.0260306264816867,1.0,0.0,0.0260306264816867,,
total_returns,8TRA.ST,2026-03,SEK,-0.124804992199688,1.0246,-0.025118934348239752,-0.14678895814253123,,
total_returns,AAB.CO,2004-01,DKK,-0.0526315789288304,,,,,
total_returns,AAB.CO,2015-02,DKK,0.142857142867423,1.1484,-0.0322743743153282,0.1059721436495733,,
total_returns,AAB.CO,2026-03,DKK,-0.0875912408759123,1.5004,0.0001999866675554962,-0.0874087712887266,,
total_returns,ACG1V.HE,2004-01,EUR,0.133620689643902,,,,,
total_returns,ACG1V.HE,2015-02,EUR,0.06956521739481179,8.574,-0.029376804211241447,0.03814480941225051,,
total_returns,ACG1V.HE,2026-03,EUR,-0.08105699934483519,11.2125,0.0003568720167730355,-0.08072905430289201,,
total_returns,ALVO.IC,2026-03,ISK,-0.11570247933884299,0.0781,0.0,-0.11570247933884303,,
market_cap,20202.OL,2026-03,NOK,,1.0,,,3148413393.8,3148413393.8
market_cap,8TRA.ST,2026-03,SEK,,1.0246,,,168352002541.443,172493461803.9625
market_cap,AAB.CO,2014-09,DKK,,1.0908,,,100800307.44,109952975.355552
market_cap,AAB.CO,2026-03,DKK,,1.5004,,,67407425.0,101138100.47
market_cap,ACG1V.HE,2014-09,EUR,,8.119,,,7687806.0,62417296.914
market_cap,ACG1V.HE,2026-03,EUR,,11.2125,,,33251315.24,372830372.1285
market_cap,ALVO.IC,2026-03,ISK,,0.0781,,,132698973040.609,10363789794.471563
