Source,Ticker,Month,Currency,LocalReturn,FXLevel_EoM,FXReturn,NOKReturn,LocalValue,NOKValue
total_returns,20202.OL,2026-03,NOK,2.60306264816867,1.0,0.0,2.60306264816867,,
total_returns,8TRA.ST,2026-03,SEK,-12.4804992199688,1.0246,-0.025118934348239752,-12.192121313777387,,
total_returns,AAB.CO,2004-01,DKK,-5.26315789288304,,,,,
total_returns,AAB.CO,2015-02,DKK,14.2857142867423,1.1484,-0.0322743743153282,13.792377422174818,,
total_returns,AAB.CO,2026-03,DKK,-8.75912408759123,1.5004,0.0001999866675554962,-8.760675808960658,,
total_returns,ACG1V.HE,2004-01,EUR,13.3620689643902,,,,,
total_returns,ACG1V.HE,2015-02,EUR,6.95652173948118,8.574,-0.029376804211241447,6.722784558137955,,
total_returns,ACG1V.HE,2026-03,EUR,-8.10569993448352,11.2125,0.0003568720167730355,-8.108235759949721,,
total_returns,ALVO.IC,2026-03,ISK,-11.5702479338843,0.0781,0.0,-11.5702479338843,,
market_cap,20202.OL,2026-03,NOK,,1.0,,,3148413393.8,3148413393.8
market_cap,8TRA.ST,2026-03,SEK,,1.0246,,,168352002541.443,172493461803.9625
market_cap,AAB.CO,2014-09,DKK,,1.0908,,,100800307.44,109952975.355552
market_cap,AAB.CO,2026-03,DKK,,1.5004,,,67407425.0,101138100.47
market_cap,ACG1V.HE,2014-09,EUR,,8.119,,,7687806.0,62417296.914
market_cap,ACG1V.HE,2026-03,EUR,,11.2125,,,33251315.24,372830372.1285
market_cap,ALVO.IC,2026-03,ISK,,0.0781,,,132698973040.609,10363789794.471563
